Property Name,Layout,Status,Block,Price
A-3A-01,TYPE C,Available,BLOCK A,2455800
A-3A-02,TYPE D,Available,BLOCK A,2736800
A-3A-03,TYPE B,Available,BLOCK A,1857800
A-3A-05,TYPE A1,Available,BLOCK A,1450800
A-3A-06,TYPE B1,Available,BLOCK A,1831800
A-3A-3A,TYPE A,Available,BLOCK A,1475800
A-40-01,TYPE C,Available,BLOCK A,2558800
A-40-02,TYPE D,Signed,BLOCK A,2834800
A-40-03,TYPE B,Signed,BLOCK A,1904800
A-40-05,TYPE A1,Available,BLOCK A,1502800
A-40-06,TYPE B1,Available,BLOCK A,1883800
A-40-3A,TYPE A,Available,BLOCK A,1527800
A-41-01,TYPE C,Signed,BLOCK A,2605800
A-41-02,TYPE D,Signed,BLOCK A,2797800
A-41-03,TYPE B,Signed,BLOCK A,1905800
A-41-05,TYPE A1,Signed,BLOCK A,1498800
A-41-06,TYPE B1,Available,BLOCK A,1884800
A-41-3A,TYPE A,Signed,BLOCK A,1523800
